Taxa;AMORT;BOS
Ceragenia insulana;1.3238;3.83902
Mallodon dasystomus;1.65528;2.48292
Parastizocera procera;0;0.08156
Limernaea ochracea;0.00799;0.03996
Lagocheirus araneiformis;0;0.4598
Neocompsa glaphyra;0.00976;0.00976
Aphies erythrodera;0;0.01066
Myoxinus pictus;0;0.11928
Diploschema mandibulare;0.46422;0
Chlorida festiva;0.11762;0
Steirostoma histrionica;0.09328;0
Lissonotus corallinus;0.06456;0
Steinheilia mandibularis;0;0.05218
Zeale scalaris;0.02292;0
Ancylosternus morio albicornis;0.32854;0
Oxymerus aculeatus lebasi;0.06636;0
Trachyderes melas;0.10968;0
Malocopterus tenellus;0.07158;0
Poeciloxestia paraensis;0.35892;0
Coleoxestia atrata;0.19548;0
Dorcasta dasycera;0.12903;0
Nealcidion socium;0.01362;0
Desmiphora canescens;0.01506;0
Caciomorpha palliata;0.05028;0
Atrypanius lignarius;0.00799;0.01598
Oedopeza ocellator;0.018856;0
Gnomidolon bellus (?);0;0.00596
Ptychodes taeniotoides taeniotoides;0.35164;0
Neoptychodes trilineatus;0;0.10818
Taurolema flavocincta;0;0.00186
Phaea sondenegro;0;0.00366
Oreodera howdeni;0;0.03882
Tulcus tigrinatus;0.05646;0
Tulcus picticornis;0;0.19634
Oedopeza cryptica;0;0.05588
Chrysoprasis chevrolati;0.01726;0
Eburodacrys asperula;0;0.00806
Pantomallus martinezi;0.41682;0
Beraba limpida;0;0.01306
Beraba sp.;0;0.03152
Gnomibidion cylindricum;0.01286;0
Tropidion sp.;0.02152;0
Psyrassa xestioides;0;0.28836
Lepturges circumscripta;0;0.00276
Lepturges sp.1;0.0253;0
Lepturges sp.2;0.0353;0
Lepturges sp.3;0.0453;0
Lepturges sp.4;0.0453;0
Gorybia armata;0;0.02016
Gorybia martes;0;0.00576
Leptostylus carinatus;0;0.0198
Adetus tayronus;0.0098;0
Irundisaua moacyri;0.06132;0
Harringtonia dalmeidai;0.07304;0
Estola vulgaris;0.0198;0
Heterachthes sp.;0;0.0082
Heterachthes lateralis;0;0.0196
Lophopoeum carinatulum;0;0.01152
Eupogonius subaeneus;0.0164;0
Estola flavomarmorata;0;0
Hippopsis lemniscata;0.03592;0
Hippopsis albicans (?);0.01606;0
Hippopsis sp. ;0.00732;0
Carphina arcifera (?);0;0.03436
Tapeina erectifrons erectifrons;0;0.01592
