;C. insulana ;M. dasystomus;P. procera;L. ochracea;L. araneiformis;N. glaphyra;A. erythrodera;M. pictus;D. mandibulare;C. festiva;S. histrionica;L. corallinus ;S. mandibularis;Z. scalaris;A. morio;O. aculeatus;T. melas;M. tenellus;P. paraensis;C. atrata;D.dasycera;N.socium;D.canescens;C.palliata;A. lignarius;O.ocellator;G. bellus (?);P. taeniotoides;N. trilineatus;T. flavocincta ;P. sondenegro;O. howdeni;O. spectabilis;H. dichrous;T. tigrinatus;T. picticornis;S. costae;B. fasciata;Colobothea sp1.;Hippopsis sp.1;A. subseriatus;P. lissonotoides;Chrysoprasis sp;Juiaparus sp1;Juiaparus sp1;Juiaparus sp1;Juiaparus sp1;Dorcasta sp1;Dorcasta sp1;Dendrobias mandibularis;O. cryptica;C. chevrolati;B. marica;E. asperula;P. martinezi;B. limpida;Beraba sp. ;G. cylindricum;Tropidion sp1;P. xestioides;L. circunscripta;A.surinamun;S.tristis;S.rugicollis;N.privatum;A.circunflexus;B.piriana;S.poeyi;Lepturges sp1.;Lepturges sp1.;Lepturges sp1.;Lepturges sp1.;G. armata;G. martes;Irundisaua moacyri;L. flavocinctus;Lepturges sp.1;Oedopeza sp.;Adetus sp1.;Trestonia sp.;H. seniculus?;Adetus tayronus;Lepturges sp. 1;C. cinereum;Mallodon sp.;A. auratus;Hippopsis sp. 1;S. corticarius;E. nemorivaga?;P. thomsonii;P. colombica;S. geniculata?;Mionochroma? sp.;G. hamatum?;Psyrassa sp.;Colobothea sp.1;Hippopsis sp.1;Estola vulgaris;Eupogonius subaeneus;T. erectifrons;H. dalmeidai;C. arcifera (?);Estola flavomarmorata;Heterachthes sp.;H. lateralis;L. carinatus;Hippopsis sp. 1 ;H. lemniscata;H. albicans (?);L. carinatulum
SFFC M1 P1;;;1;1;;1;;1;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;1;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;
SFFC M1 P2;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;
SFFC M1 P3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SFFC M1 P4;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
SFFC M2 P1;1;;;;1;;1;;;;;;1;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
SFFC M2 P2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SFFC M2 P3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SFFC M2 P4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SFFC M3 P1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SFFC M3 P2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
