Subfamily;Species
Cerambycinae;Chlorida festiva 
Cerambycinae;Coleoxestia atrata
Cerambycinae;Poeciloxestia paraensis 
Cerambycinae;Chrysoprasis chevrolati
Cerambycinae;Beraba limpida
Cerambycinae;Beraba sp.
Cerambycinae;Eburodacrys asperula
Cerambycinae;Pantomallus martinezi
Cerambycinae;Parastizocera procera
Cerambycinae;Psyrassa xestioides
Cerambycinae;Gnomidolon bellus 
Cerambycinae;Lissonotus corallinus 
Cerambycinae;Gnomibidion cylindricum 
Cerambycinae;Heterachthes lateralis
Cerambycinae;Heterachthes sp.
Cerambycinae;Neocompsa glaphyra
Cerambycinae;Tropidion sp.
Cerambycinae;Limernaea ochracea
Cerambycinae;Malacopterus tenellus 
Cerambycinae;Gorybia armata 
Cerambycinae;Gorybia martes 
Cerambycinae;Diploschema mandibulare 
Cerambycinae;Ancylosternus morio albicornis 
Cerambycinae;Ceragenia insulana
Cerambycinae;Oxymerus aculeatus lebasi
Cerambycinae;Steinheilia mandibularis
Cerambycinae;Trachyderes melas
Lamiinae;Atrypanius lignarius 
Lamiinae;Carphina arcifera 
Lamiinae;Lagocheirus araneiformis
Lamiinae;Leptostylus carinatus
Lamiinae;Lepturges circumscripta
Lamiinae;Lepturges sp.1
Lamiinae;Lepturges sp.2
Lamiinae;Lepturges sp.3
Lamiinae;Lepturges sp.4
Lamiinae;Lophopoeum carinatulum 
Lamiinae;Nealcidion socium 
Lamiinae;Oedopeza cryptica 
Lamiinae;Oedopeza ocellator
Lamiinae;Irundisaua moacyri
Lamiinae;Myoxinus pictus 
Lamiinae;Steirastoma histrionica
Lamiinae;Oreodera howdeni
Lamiinae;Aphies erythrodera 
Lamiinae;Hippopsis albicans
Lamiinae;Hippopsis lemniscata
Lamiinae;Hippopsis sp.
Lamiinae;Caciomorpha palliata 
Lamiinae;Adetus tayronus 
Lamiinae;Dorcasta dasycera 
Lamiinae;Harringtonia dalmeidai
Lamiinae;Desmiphora canescens 
Lamiinae;Estola flavomarmorata
Lamiinae;Estola vulgaris 
Lamiinae;Eupogonius subaeneus 
Lamiinae;Zeale scalaris 
Lamiinae;Taurolema flavocincta 
Lamiinae;Neoptychodes trilineatus
Lamiinae;Ptychodes taeniotoides taeniotoides
Lamiinae;Tulcus picticornis 
Lamiinae;Tulcus tigrinatus 
Lamiinae;Tapeina erectifrons erectifrons
Lamiinae;Phaea sondenegro
Prioninae;Mallodon dasystomus
